"12f7 -- 9. All data groups, 2010-2023"

"Postal code area","Information","2023"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","X coordinate",384979
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Y coordinate",6672361
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Surface area",2353278
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Inhabitants, total (HE)",18462
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Males (HE)",8711
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Females (HE)",9751
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Average age of inhabitants (HE)",42
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","0-2 years (HE)",370
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","3-6 years (HE)",397
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","7-12 years (HE)",693
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","13-15 years (HE)",355
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","16-17 years (HE)",282
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","18-19 years (HE)",314
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","20-24 years (HE)",1828
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","25-29 years (HE)",2316
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","30-34 years (HE)",1702
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","35-39 years (HE)",1325
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","40-44 years (HE)",1171
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","45-49 years (HE)",1214
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","50-54 years (HE)",1037
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","55-59 years (HE)",1098
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","60-64 years (HE)",946
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","65-69 years (HE)",810
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","70-74 years (HE)",764
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","75-79 years (HE)",912
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","80-84 years (HE)",552
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","85 years or over (HE)",376
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Aged 18 or over, total (KO)",16365
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Basic level studies (KO)",1749
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","With education, total (KO)",14616
